¡,※［＃逆感嘆符、1-9-3］
«,※［＃始め二重山括弧引用記号、始めギュメ、1-9-8］
»,※［＃終わり二重山括弧引用記号、終わりギュメ、1-9-18］
¼,※［＃4分の1、1-9-19］
½,※［＃2分の1、1-9-20］
½,※［＃２分の１、1-9-20］
¾,※［＃4分の3、1-9-21］
É,［＃「E」はアキュートアクセント付きE、1-9-32］
Č,※［＃キャロン付きC、1-10-29］
č,※［＃キャロン付きC小文字、1-10-44］
ě,※［＃キャロン付きE小文字、1-10-46］
ŋ,※［＃HENG小文字、1-10-90］
ř,※［＃キャロン付きR小文字、1-10-52］
š,※［＃キャロン付きS小文字、1-10-18］
ŭ,※［＃ブリーブ付きU小文字、1-10-68］
ǎ,※［＃キャロン付きA小文字、1-8-80］
ǒ,※［＃キャロン付きO小文字、1-8-87］
ǔ,※［＃キャロン付きU小文字、1-8-88］
ɔ,※［＃オープンO小文字、1-11-24］
ə,※［＃SCHWA小文字、1-11-16］
ə́,※［＃アキュートアクセント付きSCHWA小文字、1-11-45］
ɡ,※［＃スクリプトG小文字、有声軟口蓋破裂音、1-10-89］
ʃ,※［＃ESH小文字、1-10-72］
ʒ,※［＃EZH小文字、1-10-73］
ς,※［＃ギリシア小文字ファイナルSIGMA、1-6-57］
ς,※［＃ファイナルシグマ、1-6-57］
ὰ,※［＃重アクセント付きα、1-11-38］
ά,※［＃鋭アクセント付きα、1-11-39］
ὲ,※［＃重アクセント付きε、1-11-48］
έ,※［＃鋭アクセント付きε、1-11-49］
–,※［＃二分ダーシ、1-3-92］
•,※［＃ビュレット、1-3-32］
‼,※［＃感嘆符二つ、1-8-75］
‼,［＃「!!」は一文字、第3水準1-8-75、111-11］
‼,［＃「!!」は一文字、第3水準1-8-75、111-14］
‼,［＃「!!」は一文字、第3水準1-8-75、115-16］
‼,［＃「!!」は一文字、第3水準1-8-75、137-15］
‼,［＃「！！」は横１文字、1-8-75］
⁂,※［＃「アステリズム、1-12-94］
⁂,※［＃アステリズム、1-12-94］
⁇,※［＃疑問符二つ、1-8-76］
⁈,※［＃疑問感嘆符、1-8-77］
⁈,※［＃疑問符感嘆符、1-8-77］
⁈,［＃「！？」は１マスに横並び、第3水準1-8-77、128下-20］
⁈,［＃「？！」は一文字、第3水準1-8-77、205-15］
⁈,［＃「？！」は一文字、第3水準1-8-77、210-11］
⁈,［＃「？！」は一文字、第3水準1-8-77、217-15］
⁈,［＃「？！」は一文字、第3水準1-8-77、223-3］
⁈,［＃「？！」は一文字、第3水準1-8-77、224-13］
⁈,［＃「？！」は一文字、第3水準1-8-77、225-13］
⁈,［＃「？！」は一文字、第3水準1-8-77、225-6］
⁈,［＃「？！」は一文字、第3水準1-8-77、228-9］
⁈,［＃「？！」は一文字、第3水準1-8-77、231-10］
⁈,［＃「？！」は一文字、第3水準1-8-77、232-4］
⁈,［＃「？！」は横１文字、1-8-77］
⁉,※［＃感嘆疑問符、1-8-78］
⁉,※［＃感嘆符疑問符、1-8-78］
⁉,［＃「！？」は横１文字、1-8-78］
ℓ,※［＃リットル、1-3-63］
ℵ,※［＃アレフ、1-3-60］
⅓,※［＃3分の1、1-7-88］
⅓,※［＃３分の１、1-7-88］
⅔,※［＃3分の2、1-7-89］
Ⅰ,※［＃ローマ数字1、1-13-21］
Ⅰ,※［＃ローマ数字I、1-13-21］
Ⅰ,※［＃ローマ数字「I」、1-13-21］
Ⅰ,［＃「1」はローマ数字1、1-13-21］
Ⅰ,［＃「1」はローマ数字、1-13-21］
Ⅰ,［＃「１」はローマ数字、1-13-21］
Ⅱ,※［＃ローマ数字2、1-13-22］
Ⅱ,※［＃ローマ数字II、1-13-22］
Ⅱ,※［＃ローマ数字「II」、1-13-22］
Ⅱ,［＃「2」はローマ数字、1-13-22］
Ⅱ,［＃「２」はローマ数字2、1-13-22］
Ⅱ,［＃「２」はローマ数字、1-13-22］
Ⅲ,※［＃ローマ数字3、1-13-23］
Ⅲ,※［＃ローマ数字III、1-13-23］
Ⅲ,※［＃ローマ数字「III」、1-13-23］
Ⅲ,［＃「3」はローマ数字3、1-13-23］
Ⅲ,［＃「3」はローマ数字、1-13-23］
Ⅲ,［＃「３」はローマ数字、1-13-23］
Ⅳ,※［＃ローマ数字4、1-13-24］
Ⅳ,※［＃ローマ数字IV、1-13-24］
Ⅳ,※［＃ローマ数字「IV」、1-13-24］
Ⅳ,［＃「4」はローマ数字4、1-13-24］
Ⅳ,［＃「4」はローマ数字、1-13-24］
Ⅳ,［＃「４」はローマ数字4、1-13-24］
Ⅳ,［＃「４」はローマ数字、1-13-24］
Ⅴ,※［＃ローマ数字 5、1-13-25］
Ⅴ,※［＃ローマ数字5、1-13-25］
Ⅴ,※［＃ローマ数字V、1-13-25］
Ⅴ,※［＃ローマ数字「V」、1-13-25］
Ⅴ,［＃「5」はローマ数字、1-13-25］
Ⅴ,［＃「５」はローマ数字、1-13-25］
Ⅵ,※［＃ローマ数字6、1-13-26］
Ⅵ,※［＃ローマ数字VI、1-13-26］
Ⅵ,※［＃ローマ数字「VI」、1-13-26］
Ⅵ,［＃「6」はローマ数字、1-13-26］
Ⅵ,［＃「６」はローマ数字、1-13-26］
Ⅶ,※［＃ローマ数字7、1-13-27］
Ⅶ,※［＃ローマ数字「VII」、1-13-27］
Ⅶ,［＃「7」はローマ数字、1-13-27］
Ⅷ,※［＃ローマ数字8、1-13-28］
Ⅷ,※［＃ローマ数字VIII、1-13-28］
Ⅷ,※［＃ローマ数字「VIII」、1-13-28］
Ⅸ,※［＃ローマ数字9、1-13-29］
Ⅸ,※［＃ローマ数字IX、1-13-29］
Ⅹ,※［＃ローマ数字10、1-13-30］
Ⅹ,※［＃ローマ数字X、1-13-30］
Ⅺ,※［＃ローマ数字11、1-13-31］
Ⅺ,※［＃ローマ数字XI、1-13-31］
Ⅻ,※［＃ローマ数字12、1-13-55］
ⅰ,※［＃ローマ数字1小文字、1-12-21］
ⅱ,※［＃ローマ数字2小文字、1-12-22］
ⅳ,※［＃ローマ数字4小文字、1-12-24］
ⅴ,※［＃ローマ数字5小文字、1-12-25］
ⅵ,※［＃ローマ数字6小文字、1-12-26］
ⅸ,※［＃ローマ数字9小文字、1-12-29］
ⅺ,※［＃ローマ数字11小文字、1-12-31］
↘,※［＃右下向矢印、1-3-6］
≈,※［＃同相、1-2-78］
⊿,※［＃直角三角、1-13-89］
①,※［＃丸1、1-13-1］
②,※［＃丸2、1-13-2］
③,※［＃丸3、1-13-3］
④,※［＃丸4、1-13-4］
⑤,※［＃丸5、1-13-5］
⑥,※［＃丸6、1-13-6］
⑦,※［＃丸7、1-13-7］
⑧,※［＃丸8、1-13-8］
⑨,※［＃丸9、1-13-9］
⑩,※［＃丸10、1-13-10］
⑪,※［＃丸11、1-13-11］
⑫,※［＃丸12、1-13-12］
⑬,※［＃丸13、1-13-13］
⑭,※［＃丸14、1-13-14］
⑮,※［＃丸15、1-13-15］
⑯,※［＃丸16、1-13-16］
⑰,※［＃丸17、1-13-17］
⑱,※［＃丸18、1-13-18］
⑲,※［＃丸19、1-13-19］
⑳,※［＃丸20、1-13-20］
ⓐ,※［＃丸A小文字、1-12-33］
ⓑ,※［＃丸B小文字、1-12-34］
ⓒ,※［＃丸C小文字、1-12-35］
ⓓ,※［＃丸D小文字、1-12-36］
▶,※［＃右向黒三角、1-3-2］
◉,※［＃蛇の目、1-3-27］
◦,※［＃白ビュレット、1-3-31］
☞,※［＃指示マーク、1-13-94］
♩,※［＃四分音符、1-2-93］
✓,※［＃チェックマーク、1-7-91］
❶,※［＃黒丸1、1-12-1］
❷,※［＃黒丸2、1-12-2］
❸,※［＃黒丸3、1-12-3］
❹,※［＃黒丸4、1-12-4］
❺,※［＃黒丸5、1-12-5］
❻,※［＃黒丸6、1-12-6］
⦅,※［＃始め二重括弧、1-2-54］
⦅,［＃この二重括弧は一文字、以下同様に使用、第3水準1-2-54、197-16］
⦆,※［＃終り二重括弧、1-2-55］
⦆,※［＃終わり二重括弧、1-2-55、279-2］
⦆,※［＃終わり二重括弧、1-2-55］
⦆,［＃この二重括弧は一文字、以下同様に使用、第3水準1-2-55、197-16］
⦿,※［＃丸中黒、1-3-26］
《,※［＃始め二重山括弧、1-1-52］
》,※［＃終わり二重山括弧、1-1-53］
〔,※［＃始めきっこう（亀甲）括弧、1-1-44］
〕,※［＃終わりきっこう（亀甲）括弧、1-1-45］
〝,※［＃始めダブルミニュート、1-13-64］
〝,［＃「“」と「”」はダブルミュート、第3水準1-13-64と第3水準1-13-65］
〟,※［＃終わりダブルミニュート、1-13-65］
〻,※［＃「※」は二の字点（踊り字）、面区点番号1-2-22、114-11］
〻,※［＃「二の字点」、1-2-22］
〻,※［＃「二の字点」、面区点番号1-2-22、19-15］
〻,※［＃二の字点、1-2-22、147-5］
〻,※［＃二の字点、1-2-22］
〻,※［＃二の字点、面区点番号1-2-22、33-3］
〻,※［＃二の字点、面区点番号1-2-22、42-7］
〻,※［＃二の字點、1-2-22］
〻,［＃「二の字点」、1-2-22］
〻,［＃二の字点、1-2-22］
〼,※［＃ます記号、1-2-23］
〽,※［＃歌記号、1-3-28］
ゔ,※［＃濁点付き平仮名う、1-4-84］
ゖ,※［＃小書き平仮名け、1-4-86］
ゟ,※［＃より、1-2-25］
カ゚,※［＃半濁点付き片仮名カ、1-5-87］
キ゚,※［＃半濁点付き片仮名キ、1-5-88］
ク゚,※［＃半濁点付き片仮名ク、1-5-89］
ケ゚,※［＃半濁点付き片仮名ケ、1-5-90］
コ゚,※［＃半濁点付き片仮名コ、1-5-91］
ツ゚,※［＃半濁点付き片仮名ツ、1-5-93］
ト゚,※［＃半濁点付き片仮名ト、1-5-94］
ヷ,※［＃「ワ」に濁点、1-7-82］
ヷ,※［＃「濁点付き片仮名ワ」、1-7-82］
ヷ,※［＃濁点付き片仮名「ワ」、1-7-82］
ヷ,※［＃濁点付き片仮名ワ、1-7-82］
ヷ,※［＃濁点着き片仮名「ワ」、1-7-82］
ヷ,※［＃濁音付き片仮名ワ、1-7-82］
ヸ,※［＃「ヰに濁点」、面区点番号1-7-83、43-1］
ヸ,※［＃「ヰに濁点」、面区点番号1-7-83、64-4］
ヸ,※［＃濁点付き片仮名「ヰ」、1-7-83］
ヸ,※［＃濁点付き片仮名ヰ、1-7-83］
ヸ,※［＃濁点付片仮名ヰ、1-7-83］
ヸ,※［＃濁音付き片仮名ヰ、1-7-83］
ヹ,※［＃濁点付き片仮名ヱ、1-7-84］
